restroom_name,phone_number,open_time,latitude,longitude
강원특별자치도재활병원,033-248-7690,00:00~24:00,37.9035096,127.741054
효자1동 행정복지센터,033-250-3619,평일(09:00~18:00),37.8721699,127.727488
호반테니스장,033-240-1782,9:00~18:00,37.865011,127.75559
서면도서관,033-245-5198,정시(09:00~22:00),37.8996325,127.695719
서면 자전거도로,033-240-1563,상시,37.9417102,127.704032
상중도뱃터,033-240-1563,상시,37.8887737,127.717227
상고대전망대,033-240-1563,상시,37.8978239,127.74974
상걸보건진료소,033-244-1527,9:00~18:00,37.8620093,127.84981
사북면보건지소,033-250-3888,9:00~18:00,38.0301729,127.640456
사북면 행정복지센터1층,033-250-3609,상시,38.0298036,127.640442
북산면보건지소,033-250-4653,9:00~18:00,37.9872929,127.886094
북산면 행정복지센터,033-245-5527,평일(09:00~18:00),37.9872929,127.886094
봄내체육관,033-240-1767,5:00~22:00,37.8855774,127.721334
벌말공원2,033-250-3223,상시,37.8583489,127.740636
번개시장 화장실,033-242-0981,정시(09:00~18:02),37.8920639,127.730139
방동보건진료소,033-243-4082,9:00~18:00,37.8964544,127.679909
무릉공원 주차장,033-240-1563,상시,37.8565697,127.73846
호반체육관,033-240-1784,5:30~22:00,37.8638431,127.756476
한숲근린공원,033-250-3223,상시,37.8568722,127.730384
한덕유원지 화장실,033-250-3606,9:00~18:00,37.7053571,127.603433
하키장,033-252-1666,9:00~18:00,37.8604698,127.709237
하중도배터 공중화장실,033-240-1563,8:30~18:00,37.8887737,127.717227
풍물시장 화장실 C,033-253-5814,정시(09:00~18:01),37.8671909,127.718155
풍물시장 화장실 B,033-253-5814,정시(09:00~18:00),37.8674466,127.717578
풍물시장 화장실 A,033-253-5814,정시(09:00~18:00),37.8690137,127.716183
파크골프장,033-240-1760,9:00~18:00,37.8880938,127.687676
퇴계동행정복지센터,033-250-3623,9:00~18:00,37.864493,127.726186
큰골공원,033-250-3223,상시,37.8554618,127.758311
카플 주차장,033-240-1563,상시,37.8462963,127.755967
춘천중앙시장㈜,033-254-2558,정시(09:00~18:00),37.8780803,127.725966
춘천안식공원,033-261-7314,8:00~18:00,37.7613396,127.745832
춘천시청소년수련관,033-244-1387,9:00~21:00,37.8737051,127.739937
만천게이트볼장,033-240-1782,9:00~18:00,37.8797827,127.757536
